City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,utrik,11.2278,169.8474,28.5,77,46,5.53,MH,1722997222
1,puerto natales,-51.7236,-72.4875,-2.15,91,100,1.31,CL,1722997223
2,adamstown,-25.066,-130.1015,18.7,66,39,5.08,PN,1722997224
3,tangier,35.7806,-5.8137,21.64,100,75,2.06,MA,1722997225
4,northam,51.0333,-4.2167,15.37,94,3,4.21,GB,1722997226
5,reuleuet,5.2167,96.2833,28.9,62,72,0.81,ID,1722997228
6,wailua homesteads,22.0669,-159.378,28.44,67,0,6.69,US,1722997229
7,cananea,30.95,-110.3,18.36,80,100,1.09,MX,1722997230
8,edmundston,47.3737,-68.3251,16.63,51,0,2.57,CA,1722997231
9,waitangi,-43.9535,-176.5597,11.57,76,0,0.89,NZ,1722997232
10,constantia,44.1833,28.65,16.5,88,0,5.55,RO,1722997233
11,kidal,18.4411,1.4078,27.93,53,26,5.51,ML,1722997234
12,talnakh,69.4865,88.3972,15.0,50,2,7.54,RU,1722997235
13,grytviken,-54.2811,-36.5092,-8.69,68,55,2.99,GS,1722997236
14,west island,-12.1568,96.8225,27.99,65,1,5.66,CC,1722997237
15,ust-nera,64.5667,143.2,10.73,85,100,2.02,RU,1722996969
16,bilibino,68.0546,166.4372,11.41,44,23,1.76,RU,1722997240
17,iskateley,67.6803,53.1512,8.3,71,8,2.86,RU,1722997241
18,colonia nicolich,-34.8131,-56.0447,16.06,100,100,6.17,UY,1722997242
19,hawaiian paradise park,19.5933,-154.9731,27.73,66,0,4.63,US,1722997243
20,yellowknife,62.456,-114.3525,20.23,42,20,4.12,CA,1722997244
21,vorgashor,67.5833,63.95,8.57,61,12,4.25,RU,1722997245
22,gurupa,-1.405,-51.64,25.6,70,21,1.03,BR,1722997246
23,hermanus,-34.4187,19.2345,7.67,83,17,1.92,ZA,1722997247
24,rongelap,11.1635,166.8941,28.72,77,100,4.2,MH,1722997248
25,turan,16.0678,108.2208,31.99,58,0,0.51,VN,1722997249
26,port-aux-francais,-49.35,70.2167,2.5,87,68,6.99,TF,1722997250
27,tiksi,71.6872,128.8694,10.12,82,96,4.79,RU,1722997252
28,ceeldheer,3.8488,47.1806,24.36,88,98,6.46,SO,1722997253
29,crane,31.3974,-102.3501,33.23,23,0,3.77,US,1722997254
30,smithers,54.7804,-127.1743,27.18,28,20,2.57,CA,1722997224
31,pravokumskoye,44.7694,44.6472,22.52,69,51,2.28,RU,1722997256
32,thompson,55.7435,-97.8558,12.09,94,100,3.09,CA,1722997257
33,sinop,41.7711,34.8709,16.31,65,48,1.15,TR,1722997244
34,codrington,-38.2667,141.9667,14.76,66,9,6.63,AU,1722997259
35,edinburgh of the seven seas,-37.0676,-12.3116,9.53,59,6,5.93,SH,1722997260
36,papatowai,-46.5619,169.4708,12.45,57,100,2.13,NZ,1722997261
37,badger,64.8,-147.5333,22.95,61,75,2.06,US,1722997262
38,mazatlan,23.2167,-106.4167,29.39,77,100,1.54,MX,1722996966
39,muravlenko,63.7898,74.523,9.69,66,16,6.03,RU,1722997265
40,georgetown,5.4112,100.3354,29.96,74,40,3.09,MY,1722997266
41,punta arenas,-53.15,-70.9167,-1.94,93,75,2.57,CL,1722997076
42,port alfred,-33.5906,26.891,13.33,70,0,4.19,ZA,1722997268
43,tazacorte,28.629,-17.9293,23.54,88,100,6.69,ES,1722997269
44,udachny,66.4167,112.4,13.55,52,35,0.86,RU,1722997270
45,tromso,69.6496,18.957,12.01,87,3,0.0,NO,1722997271
46,pangody,65.85,74.4859,9.35,72,0,6.26,RU,1722997272
47,nikolayevsk-on-amure,53.1406,140.73,19.15,88,100,2.07,RU,1722997273
48,homer,59.6425,-151.5483,17.93,72,100,5.66,US,1722997274
49,blackmans bay,-43.0167,147.3167,14.07,60,100,2.41,AU,1722997275
50,ilulissat,69.2167,-51.1,7.01,93,58,0.0,GL,1722997277
51,tamanrasset,22.785,5.5228,27.95,13,0,3.6,DZ,1722997278
52,monrovia,6.3005,-10.7969,24.87,85,100,4.5,LR,1722997279
53,avarua,-21.2078,-159.775,25.03,83,75,3.6,CK,1722997280
54,chonchi,-42.6128,-73.8092,3.4,96,10,0.72,CL,1722997281
55,brisas de zicatela,15.8369,-97.0419,28.07,81,99,3.26,MX,1722997282
56,margaret river,-33.95,115.0667,13.52,77,100,8.81,AU,1722997283
57,prince rupert,54.3161,-130.3201,13.05,99,100,4.63,CA,1722997284
58,post,33.1909,-101.3782,32.21,27,1,4.06,US,1722997285
59,bredasdorp,-34.5322,20.0403,8.56,91,1,1.32,ZA,1722997053
60,yorkton,51.2167,-102.4677,15.91,100,100,4.12,CA,1722997287
61,iqaluit,63.7506,-68.5145,7.85,75,75,1.54,CA,1722997289
62,grand falls-windsor,48.9332,-55.6649,14.17,81,13,4.56,CA,1722997286
63,isafjordur,66.0755,-23.124,6.29,92,98,2.6,IS,1722997291
64,kerikeri,-35.2268,173.9474,13.15,63,93,2.02,NZ,1722997292
65,kodiak,57.79,-152.4072,11.73,100,100,7.2,US,1722997293
66,puerto ayora,-0.7393,-90.3518,20.31,91,82,5.14,EC,1722997294
67,karatuzskoye,53.6072,92.8667,16.01,89,93,1.86,RU,1722997295
68,nogliki,51.8333,143.1667,24.13,70,99,5.84,RU,1722997296
69,westport,41.1415,-73.3579,22.53,89,100,6.69,US,1722997297
70,new norfolk,-42.7826,147.0587,14.72,70,100,1.9,AU,1722997298
71,saint-pierre,-21.3393,55.4781,18.82,59,20,4.12,RE,1722997299
72,kill devil hills,36.0307,-75.676,26.1,95,0,3.09,US,1722997054
73,arteche,12.2645,125.4048,30.98,64,99,2.47,PH,1722997302
74,taoudenni,22.6783,-3.9836,36.93,20,7,4.89,ML,1722997304
75,alamosa,37.4695,-105.87,18.99,59,75,3.6,US,1722997305
76,fuglafjordur,62.244,-6.814,11.26,96,100,9.95,FO,1722997306
77,pivijay,10.4617,-74.6162,25.49,90,100,1.99,CO,1722997307
78,kaa-khem,51.6833,94.7333,20.16,50,24,1.43,RU,1722997308
79,kruisfontein,-34.0033,24.7314,8.92,81,0,2.78,ZA,1722997309
80,hamilton,39.1834,-84.5333,28.94,73,0,2.06,US,1722997310
81,afaahiti,-17.75,-149.2833,26.93,84,7,8.77,PF,1722997311
82,uturoa,-16.7333,-151.4333,26.14,85,5,8.41,PF,1722997312
83,bambous,-20.2567,57.4061,17.85,91,3,3.39,MU,1722997313
84,salinopolis,-0.6136,-47.3561,25.78,87,99,4.73,BR,1722997243
85,hasaki,35.7333,140.8333,34.05,82,61,4.55,JP,1722997316
86,lihue,21.9789,-159.3672,28.77,63,0,6.69,US,1722997317
87,genhe,50.7833,121.5167,20.26,66,98,1.89,CN,1722997318
88,sidney,-33.8679,151.2073,18.53,46,0,2.57,AU,1722997229
89,leshan,29.5623,103.7639,29.75,77,98,0.32,CN,1722997320
90,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,100,75,3.0,RU,1722997321
91,stanley,54.868,-1.6985,13.49,86,0,3.6,GB,1722997322
92,karratha,-20.7377,116.8463,24.19,28,0,2.73,AU,1722997323
93,beau vallon,-20.4189,57.6953,18.45,88,20,1.54,MU,1722997324
94,invercargill,-46.4,168.35,12.79,68,100,4.92,NZ,1722997325
95,carnarvon,-24.8667,113.6333,20.9,64,100,4.44,AU,1722997113
96,nuuk,64.1835,-51.7216,8.34,93,100,0.51,GL,1722997327
97,nova sintra,14.8667,-24.7167,25.71,85,100,7.53,CV,1722997329
98,casablanca,33.5928,-7.6192,24.07,78,0,2.68,MA,1722997202
99,addiet canna,11.2667,37.4833,12.76,93,100,0.93,ET,1722997331
100,mount gambier,-37.8333,140.7667,14.86,59,6,4.41,AU,1722997332
101,contamana,-7.3333,-75.0167,25.57,68,10,1.09,PE,1722997333
102,port elizabeth,-33.918,25.5701,9.62,91,0,1.54,ZA,1722997335
103,quiberon,47.4841,-3.1196,12.78,76,0,4.03,FR,1722997336
104,warrnambool,-38.3833,142.4833,14.3,68,10,6.66,AU,1722997337
105,ushuaia,-54.8,-68.3,-2.19,74,0,1.54,AR,1722997210
106,saipan,15.1355,145.701,29.39,84,75,3.6,MP,1722997318
107,zeya,53.75,127.2667,25.07,51,95,1.13,RU,1722997342
108,kandyagash,49.4744,57.4233,23.28,50,12,1.09,KZ,1722997343
109,mili,6.0815,171.735,27.58,71,72,0.53,MH,1722997344
110,albany,42.6001,-73.9662,18.5,80,100,1.72,US,1722997345
111,nefteyugansk,61.0998,72.6035,11.94,63,18,5.33,RU,1722997346
112,vilyuchinsk,52.9306,158.4028,14.15,95,100,0.52,RU,1722997347
113,argo,37.6333,22.7333,24.88,57,0,1.71,GR,1722997348
114,kirensk,57.7853,108.1119,24.73,44,6,1.15,RU,1722997349
115,mejit,10.2753,170.8646,28.56,77,46,5.64,MH,1722997350
116,selfoss,63.9331,-20.9971,8.91,84,32,2.11,IS,1722997351
117,longyearbyen,78.2186,15.6401,8.91,93,75,0.0,SJ,1722997352
118,puerto baquerizo moreno,-0.9,-89.6,19.69,84,81,6.29,EC,1722997354
119,wingham,43.8879,-81.3114,16.26,87,9,3.31,CA,1722997355
120,diyarbakir,37.9158,40.2189,26.99,29,0,5.14,TR,1722997356
121,gadzhiyevo,69.2551,33.3362,11.82,58,54,3.89,RU,1722997357
122,freeport,40.6576,-73.5832,22.99,94,100,4.12,US,1722997229
123,anadyr,64.75,177.4833,9.28,61,75,5.0,RU,1722997359
124,haiku-pauwela,20.9219,-156.3051,28.43,64,20,10.8,US,1722997360
125,touros,-5.1989,-35.4608,23.59,84,1,5.77,BR,1722997361
126,suntar,62.1444,117.6319,18.03,48,97,2.56,RU,1722997362
127,dawei,14.0833,98.2,26.86,82,100,1.53,MM,1722997363
128,banda aceh,5.5577,95.3222,28.55,71,69,5.71,ID,1722997220
129,suratgarh,29.3167,73.9,31.0,66,0,6.7,IN,1722997365
130,bethel,41.3712,-73.414,21.61,89,100,3.22,US,1722997348
131,norderney,53.7,7.15,18.9,84,100,2.85,DE,1722997368
132,kinablangan,7.6947,126.5503,28.77,68,99,2.22,PH,1722997369
133,dudinka,69.4058,86.1778,11.89,55,0,10.89,RU,1722997370
134,hassi messaoud,31.6804,6.0729,28.92,30,0,2.06,DZ,1722997371
135,nyurba,63.2842,118.3319,16.44,50,12,3.31,RU,1722997372
136,port lincoln,-34.7333,135.8667,15.63,55,25,7.22,AU,1722997373
137,calabozo,8.9242,-67.4293,24.18,93,17,1.1,VE,1722997374
138,haukipudas,65.1765,25.3523,11.03,71,6,3.28,FI,1722997375
139,filadelfia,39.9523,-75.1638,23.48,96,100,5.14,US,1722997134
140,katsuren-haebaru,26.3369,127.8719,33.21,73,75,4.12,JP,1722997377
141,kharp,66.8014,65.8081,10.75,60,9,0.47,RU,1722997379
